name,category,energy_kcal,protein_g,fat_g,carb_g,iron_mg,calcium_mg,vitamin_c_mg,fiber_g,unit_weight_g
卵,たんぱく質,142,12.3,10.3,0.3,1.8,51,0,0,60
牛乳,乳製品,61,3.3,3.8,4.8,0.02,110,1,0,200
ヨーグルト,乳製品,62,3.6,3.0,4.9,0,120,1,0,100
チーズ,乳製品,339,22.7,26.0,1.3,0.3,630,0,0,20
豆乳,乳製品,46,3.6,2.0,3.1,1.2,15,0,0.2,200
ほうれん草,野菜,20,2.2,0.4,3.1,2.0,49,35,2.8,200
トマト,野菜,19,0.7,0.1,4.7,0.2,7,15,1.0,150
にんじん,野菜,39,0.6,0.1,9.3,0.2,28,6,2.8,150
玉ねぎ,野菜,37,1.0,0.1,8.8,0.2,17,8,1.6,200
じゃがいも,野菜,76,1.6,0.1,17.6,0.4,4,28,8.9,150
キャベツ,野菜,23,1.3,0.2,5.2,0.3,43,41,1.8,1000
きゅうり,野菜,14,1.0,0.1,3.0,0.3,26,14,1.1,100
ブロッコリー,野菜,33,4.3,0.5,5.2,1.0,38,140,5.1,200
もやし,野菜,14,1.7,0.1,2.6,0.2,10,8,1.3,200
ピーマン,野菜,22,0.9,0.2,5.1,0.4,11,76,2.3,30
なす,野菜,22,1.1,0.1,5.1,0.3,18,4,2.2,80
バナナ,果物,86,1.1,0.2,22.5,0.3,6,16,1.1,100
りんご,果物,54,0.1,0.2,14.6,0.1,3,4,1.4,250
鶏むね肉,肉類,108,22.3,1.5,0.1,0.3,4,0,0,250
鶏もも肉,肉類,190,16.6,14.0,0,0.6,5,1,0,250
豚肉,肉類,263,14.4,22.6,0.1,0.6,4,0.5,0,100
牛肉,肉類,259,15.1,21.1,0.3,1.0,4,1,0,100
さけ,魚介類,133,22.3,4.1,0.1,0.5,14,1,0,80
さば,魚介類,202,20.7,12.1,0.3,1.2,6,1,0,100
ツナ缶,魚介類,265,17.7,21.7,0.1,0.6,5,0,0,70
豆腐,豆類,56,4.9,3.0,2.0,0.9,86,0,0.3,150
納豆,豆類,200,16.5,10.0,12.1,3.3,90,0,6.7,50
米・ごはん,穀類,168,2.5,0.3,37.1,0.1,3,0,1.5,150
食パン,穀類,264,9.3,4.4,46.7,0.6,29,0,2.3,60
小麦粉,穀類,368,8.3,1.5,75.8,0.5,20,0,2.5,100
バター,油脂類,745,0.6,81.0,0.2,0.1,15,0,0,10
醤油,調味料,71,7.7,0.0,7.9,1.7,29,0,0,15
味噌,調味料,192,12.5,6.0,21.9,4.3,100,0,4.9,18
